Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.BAC221118C31,BAC 100 18 NOV 22 31 CALL,1.18,-.43,-26.71%,"1,281",1.15,1.18,1.40,1.11,.41,.09,-.02,.04,"12,680"
.AX221118P35,AX 100 18 NOV 22 35 PUT,2.05,0,0.00%,5,1.95,2.20,2.15,2.05,-.41,.06,-.03,.04,"12,655"
.SNAP221028C11.5,SNAP 100 (Weeklys) 28 OCT 22 11.5 CALL,.66,-.05,-7.04%,75,.66,.69,.77,.49,.40,.14,-.03,.01,"12,641"
.WFC221118P37.5,WFC 100 18 NOV 22 37.5 PUT,1.42,+.40,+39.22%,439,1.37,1.43,1.42,1.15,-.30,.05,-.03,.05,"12,623"
.RCL221216C50,RCL 100 16 DEC 22 50 CALL,2.20,-.31,-12.35%,134,2.33,2.46,2.20,1.95,.33,.03,-.04,.06,"12,503"
.AAPL221028P137,AAPL 100 (Weeklys) 28 OCT 22 137 PUT,4.80,+.75,+18.52%,"4,007",4.65,4.70,5.05,3.82,-.41,.03,-.17,.12,"12,481"
.TSLA221021P216.67,TSLA 100 21 OCT 22 216.67 PUT,11.80,+2.30,+24.21%,"2,507",11.70,11.95,12.62,8.50,-.49,.01,-.58,.14,"12,475"
.TXN221118P150,TXN 100 18 NOV 22 150 PUT,7.10,+1.55,+27.93%,149,7.00,7.20,7.88,6.65,-.41,.02,-.11,.19,"12,447"
.BAC221021P29,BAC 100 21 OCT 22 29 PUT,.78,+.28,+56.00%,902,.75,.78,.85,.56,-.37,.13,-.06,.02,"12,423"
.NIO221118C15,NIO 100 18 NOV 22 15 CALL,.71,-.18,-20.22%,"1,272",.69,.72,.92,.65,.34,.10,-.02,.02,"12,419"
.CVS221118C92.5,CVS 100 18 NOV 22 92.5 CALL,2.10,+.08,+3.96%,758,2.06,2.19,2.52,1.63,.36,.04,-.05,.11,"12,370"
.SOFI221014P5,SOFI 100 (Weeklys) 14 OCT 22 5 PUT,.16,-.02,-11.11%,"5,087",.16,.18,.31,.10,-.49,.96,-.03,.00,"12,367"
.AFRM221118P20,AFRM 100 18 NOV 22 20 PUT,3.70,-.30,-7.50%,490,3.70,3.80,4.50,3.45,-.43,.04,-.04,.02,"12,225"
.TLRY221021C3,TLRY 100 21 OCT 22 3 CALL,.19,-.07,-26.92%,980,.16,.18,.27,.15,.46,.75,-.01,.00,"12,206"
.AAL221216P12,AAL 100 16 DEC 22 12 PUT,1.30,-.07,-5.11%,659,1.28,1.31,1.47,1.21,-.41,.11,-.01,.02,"12,169"
.BABA221118P75,BABA 100 18 NOV 22 75 PUT,5.90,+1.55,+35.63%,"4,077",5.85,5.95,6.34,5.00,-.44,.03,-.08,.10,"12,146"
.AAPL221021P138,AAPL 100 21 OCT 22 138 PUT,3.32,+.27,+8.85%,"5,995",3.30,3.40,3.78,2.49,-.43,.04,-.20,.09,"12,078"
.PBR221014C14,PBR 100 (Weeklys) 14 OCT 22 14 CALL,.27,-.21,-43.75%,165,.20,.47,.44,.25,.51,.47,-.07,.00,"12,032"
.BGCP221118C4,BGCP 100 18 NOV 22 4 CALL,.21,0,0.00%,<empty>,.10,.25,0,0,.37,.50,.00,.00,"11,974"
.MSFT221216P210,MSFT 100 16 DEC 22 210 PUT,8.55,+1.05,+14.00%,149,8.20,8.60,8.90,7.50,-.30,.01,-.10,.33,"11,951"
.CLAR221216C15,CLAR 100 16 DEC 22 15 CALL,.90,-.06,-6.25%,1,.65,.95,.90,.90,.35,.09,-.01,.02,"11,931"
.AAPL221216P135,AAPL 100 16 DEC 22 135 PUT,7.33,+.38,+5.47%,783,7.30,7.40,7.70,6.45,-.39,.02,-.07,.23,"11,924"
.PCG221118C15,PCG 100 18 NOV 22 15 CALL,.55,+.02,+3.77%,91,.53,.55,.58,.45,.39,.18,-.01,.02,"11,885"
.AR221118C37,AR 100 18 NOV 22 37 CALL,1.85,+.15,+8.82%,33,1.85,2.00,2.30,1.70,.39,.05,-.04,.04,"11,862"
.SWN221216C8,SWN 100 16 DEC 22 8 CALL,.37,+.01,+2.78%,102,.34,.36,.39,.33,.32,.19,-.01,.01,"11,856"
.AMC1221216P10,AMC 100 (APE 100:5.0) 16 DEC 22 10 PUT,3.35,+.20,+6.35%,"1,020",3.15,3.65,3.40,3.18,-.46,.07,-.01,.01,"11,853"
.X221021C20,X 100 21 OCT 22 20 CALL,.60,-.04,-6.25%,355,.60,.64,.74,.51,.42,.18,-.04,.01,"11,836"
.GOOG221118C100,GOOG 100 18 NOV 22 100 CALL,4.90,-.30,-5.77%,"1,303",4.85,4.95,5.85,4.65,.48,.03,-.08,.13,"11,784"
.PBR221118P13,PBR 100 18 NOV 22 13 PUT,1.05,+.03,+2.94%,38,.90,1.19,1.17,1.01,-.34,.09,-.02,.02,"11,759"
.GOLD221021P15,GOLD 100 21 OCT 22 15 PUT,.47,+.09,+23.68%,328,.46,.48,.47,.31,-.48,.34,-.02,.01,"11,662"
.COF221118P95,COF 100 18 NOV 22 95 PUT,6.95,-.15,-2.11%,147,6.70,7.10,7.37,6.05,-.50,.03,-.08,.12,"11,628"
.GOLD221216P14,GOLD 100 16 DEC 22 14 PUT,.73,+.07,+10.61%,35,.73,.76,.73,.64,-.33,.12,-.01,.02,"11,609"
.RIG221118P3,RIG 100 18 NOV 22 3 PUT,.37,+.02,+5.71%,51,.37,.40,.42,.37,-.46,.44,.00,.00,"11,572"
.GOLD221021C15.5,GOLD 100 21 OCT 22 15.5 CALL,.32,-.11,-25.58%,446,.29,.32,.48,.32,.37,.29,-.02,.01,"11,516"
.LUMN221216C7,LUMN 100 16 DEC 22 7 CALL,.47,+.01,+2.17%,140,.52,.56,.57,.39,.45,.22,.00,.01,"11,504"
.LVS221216C40,LVS 100 16 DEC 22 40 CALL,2.35,-1.13,-32.47%,"4,612",2.27,2.44,3.00,2.05,.41,.04,-.03,.06,"11,481"
.CCJ221021C25,CCJ 100 21 OCT 22 25 CALL,1.57,+.16,+11.35%,218,1.54,1.61,1.96,1.38,.43,.07,-.12,.01,"11,386"
.SHEL221216C55,SHEL 100 16 DEC 22 55 CALL,1.62,+.02,+1.25%,32,1.30,1.45,1.65,1.50,.30,.04,-.02,.07,"11,376"
.FUBO221216C5,FUBO 100 16 DEC 22 5 CALL,.38,0,0.00%,97,.35,.40,.40,.33,.37,.20,-.01,.01,"11,340"
.MARA221014P10.5,MARA 100 (Weeklys) 14 OCT 22 10.5 PUT,.69,+.08,+13.11%,"2,045",.66,.70,.98,.47,-.48,.24,-.13,.00,"11,338"
.FMX221118C65,FMX 100 18 NOV 22 65 CALL,2.05,-.15,-6.82%,186,2.00,2.20,2.65,2.00,.42,.05,-.04,.08,"11,324"
.DAL221021C29.5,DAL 100 21 OCT 22 29.5 CALL,1.07,-.28,-20.74%,623,1.03,1.07,1.92,.92,.45,.12,-.07,.02,"11,296"
.CVE221216C20,CVE 100 16 DEC 22 20 CALL,.86,-.17,-16.50%,7,.75,.90,1.00,.85,.32,.08,-.01,.03,"11,283"
.AMC1221021P8,AMC 100 (APE 100:5.0) 21 OCT 22 8 PUT,.52,0,0.00%,20,.60,.90,.52,.52,-.47,.23,-.04,.00,"11,274"
.CCL221118C7.5,CCL 100 18 NOV 22 7.5 CALL,.46,+.06,+15.00%,"1,000",.45,.48,.48,.33,.39,.20,-.01,.01,"11,226"
.PFSI221118P45,PFSI 100 18 NOV 22 45 PUT,4.10,+.40,+10.81%,58,3.30,3.80,5.00,3.25,-.48,.05,-.04,.06,"11,097"
.AMLX221021C35,AMLX 100 21 OCT 22 35 CALL,.95,-.45,-32.14%,"1,429",.95,1.10,1.95,.80,.36,.08,-.09,.02,"11,022"
.PBR221216C14,PBR 100 16 DEC 22 14 CALL,1.28,-.22,-14.67%,21,1.10,1.35,1.29,1.28,.55,.13,-.01,.02,"10,972"
.GME221118P25,GME 100 18 NOV 22 25 PUT,3.55,-.18,-4.83%,199,3.45,3.70,4.00,3.25,-.41,.04,-.05,.03,"10,947"
.SNAP221028P10,SNAP 100 (Weeklys) 28 OCT 22 10 PUT,.99,+.08,+8.79%,76,.97,.99,1.14,.88,-.40,.13,-.03,.01,"10,836"
.SNY221021C41,SNY 100 21 OCT 22 41 CALL,.60,+.25,+71.43%,33,.40,2.75,.60,.45,.43,.07,-.11,.03,"10,720"
.XOM221021P97.5,XOM 100 21 OCT 22 97.5 PUT,2.50,+.30,+13.64%,"1,650",2.38,2.53,3.10,1.73,-.45,.06,-.14,.06,"10,694"
.CVX221021C160,CVX 100 21 OCT 22 160 CALL,3.05,+.01,+0.33%,449,2.78,2.96,4.25,1.87,.41,.04,-.21,.10,"10,687"
.AMZN221118P114,AMZN 100 18 NOV 22 114 PUT,8.45,+.70,+9.03%,477,8.35,8.50,9.20,6.95,-.50,.02,-.10,.14,"10,670"
.FSLR221021C135,FSLR 100 21 OCT 22 135 CALL,3.70,-.26,-6.57%,140,3.75,4.00,4.30,2.15,.42,.03,-.28,.08,"10,652"
.GOOG221118P95,GOOG 100 18 NOV 22 95 PUT,4.35,+.47,+12.11%,281,4.20,4.35,4.40,3.52,-.38,.03,-.07,.12,"10,569"
.GOOGL221118P95,GOOGL 100 18 NOV 22 95 PUT,4.50,+.28,+6.64%,511,4.50,4.60,4.80,3.75,-.40,.03,-.07,.12,"10,562"
.MRK221021C92.5,MRK 100 21 OCT 22 92.5 CALL,1.06,+.27,+34.18%,226,.96,1.04,1.40,.64,.37,.09,-.08,.06,"10,544"
.LAD221118P200,LAD 100 18 NOV 22 200 PUT,12.10,+.10,+0.83%,2,9.50,10.50,12.70,12.10,-.35,.01,-.18,.25,"10,530"
.TDOC221118P25,TDOC 100 18 NOV 22 25 PUT,3.50,+.25,+7.69%,162,3.40,3.50,3.64,3.20,-.44,.05,-.04,.03,"10,514"
.BABA221021C80,BABA 100 21 OCT 22 80 CALL,1.51,-1.42,-48.46%,"2,424",1.47,1.53,2.04,1.25,.31,.04,-.15,.04,"10,500"
.NEE221118P75,NEE 100 18 NOV 22 75 PUT,3.10,+.38,+13.97%,175,2.95,3.20,3.30,2.67,-.43,.04,-.05,.10,"10,497"
.F221021P11,F 100 21 OCT 22 11 PUT,.24,-.06,-20.00%,"4,327",.24,.25,.37,.16,-.30,.29,-.02,.01,"10,493"
.AMD221216P60,AMD 100 16 DEC 22 60 PUT,7.25,+.15,+2.11%,669,7.20,7.30,8.00,6.62,-.49,.03,-.05,.10,"10,388"
.OMF221118P30,OMF 100 18 NOV 22 30 PUT,1.55,-.25,-13.89%,13,1.55,1.70,1.85,1.55,-.35,.06,-.03,.04,"10,387"
.TDOC221021P25,TDOC 100 21 OCT 22 25 PUT,1.75,+.24,+15.89%,59,1.61,1.68,2.00,1.55,-.50,.11,-.08,.02,"10,318"
.BAC221118P28,BAC 100 18 NOV 22 28 PUT,1.02,+.27,+36.00%,"10,275",1.01,1.03,1.04,.85,-.32,.08,-.02,.03,"10,252"
.SABR221118P5,SABR 100 18 NOV 22 5 PUT,.56,+.04,+7.69%,663,.51,.56,.59,.50,-.42,.27,-.01,.01,"10,243"
.AAL221021C12.5,AAL 100 21 OCT 22 12.5 CALL,.59,+.09,+18.00%,"2,877",.58,.60,.89,.42,.47,.23,-.04,.01,"10,239"
.ZM221014C75,ZM 100 (Weeklys) 14 OCT 22 75 CALL,1.50,-.20,-11.76%,"1,159",1.40,1.52,1.78,.60,.41,.08,-.38,.03,"10,218"
.ATUS221118P5,ATUS 100 18 NOV 22 5 PUT,.55,0,0.00%,4,.50,.60,.60,.55,-.38,.23,-.01,.01,"10,172"
.RIVN221118P30,RIVN 100 18 NOV 22 30 PUT,2.67,-.28,-9.49%,831,2.63,2.69,3.05,2.20,-.34,.04,-.05,.04,"10,142"
.IGT221118P16,IGT 100 18 NOV 22 16 PUT,1.17,-.01,-0.85%,7,1.04,1.22,1.28,1.17,-.36,.09,-.02,.02,"10,132"
.IGT221118C18,IGT 100 18 NOV 22 18 CALL,1.12,-.05,-4.27%,30,1.15,1.24,1.12,.80,.44,.10,-.02,.02,"10,113"
.SAVE221118C20,SAVE 100 18 NOV 22 20 CALL,.57,-.17,-22.97%,30,.52,.79,.65,.46,.34,.11,-.02,.02,"10,104"
.DISH221014P13,DISH 100 (Weeklys) 14 OCT 22 13 PUT,.30,+.10,+50.00%,76,.20,.35,.39,.30,-.32,.29,-.09,.00,"10,074"
.PCG221028C14.5,PCG 100 (Weeklys) 28 OCT 22 14.5 CALL,.48,+.03,+6.67%,1,.46,.50,.48,.48,.45,.27,-.02,.01,"10,073"
.PLUG221216C22.5,PLUG 100 16 DEC 22 22.5 CALL,2.00,0,0.00%,132,1.98,2.07,2.05,1.83,.45,.05,-.02,.03,"10,061"
.AAPL221021P136,AAPL 100 21 OCT 22 136 PUT,2.63,+.34,+14.85%,"3,317",2.57,2.61,2.98,1.88,-.36,.04,-.20,.09,"10,051"
.NFLX221021C230,NFLX 100 21 OCT 22 230 CALL,9.60,-7.10,-42.51%,"1,221",9.50,9.75,16.24,9.40,.39,.01,-.78,.14,"10,037"
.GRPN221216C10,GRPN 100 16 DEC 22 10 CALL,.60,-.10,-14.29%,41,.50,.65,.60,.60,.33,.11,-.01,.01,"10,022"
.AMRS221104C3,AMRS 100 (Weeklys) 4 NOV 22 3 CALL,.15,-.05,-25.00%,60,.15,.25,.20,.15,.39,.43,-.01,.00,"10,008"
.SQ221118P50,SQ 100 18 NOV 22 50 PUT,4.30,+.85,+24.64%,294,4.30,4.40,4.65,3.50,-.35,.02,-.08,.06,"9,970"
.WMT221021P130,WMT 100 21 OCT 22 130 PUT,1.45,-1.32,-47.65%,"1,072",1.43,1.46,2.70,1.20,-.33,.06,-.12,.08,"9,948"
.AMZN221216P115,AMZN 100 16 DEC 22 115 PUT,10.45,+.75,+7.73%,421,10.30,10.40,11.19,8.95,-.50,.02,-.06,.19,"9,935"
.WFC221118C42.5,WFC 100 18 NOV 22 42.5 CALL,1.31,-.42,-24.28%,"1,258",1.29,1.32,1.59,1.28,.37,.07,-.03,.05,"9,924"
.GME221216P25,GME 100 16 DEC 22 25 PUT,5.00,+.10,+2.04%,40,4.85,5.15,5.35,4.67,-.38,.03,-.04,.04,"9,874"
.BX221021P80,BX 100 21 OCT 22 80 PUT,2.15,+.65,+43.33%,475,2.04,2.19,2.50,1.50,-.33,.04,-.17,.05,"9,873"
.TWTR221118P50,TWTR 100 18 NOV 22 50 PUT,3.23,+.30,+10.24%,536,2.95,3.30,3.25,2.87,-.46,.05,-.04,.06,"9,842"
.CMCSA221118C30,CMCSA 100 18 NOV 22 30 CALL,1.21,-.25,-17.12%,"2,965",1.11,1.15,1.38,1.16,.40,.09,-.02,.04,"9,841"
.DIDIY221216P5,DIDIY 100 16 DEC 22 5 PUT,0,0,<empty>,<empty>,1.00,6.00,0,0,-.42,.06,-.01,.00,"9,820"
.GOLD221118C16,GOLD 100 18 NOV 22 16 CALL,.58,-.09,-13.43%,507,.56,.58,.74,.58,.37,.15,-.01,.02,"9,798"
.SNAP221118C12,SNAP 100 18 NOV 22 12 CALL,.71,-.09,-11.25%,454,.74,.75,.85,.58,.38,.11,-.02,.01,"9,788"
.CVNA221111C21,CVNA 100 (Weeklys) 11 NOV 22 21 CALL,2.35,+.04,+1.73%,9,2.25,2.45,2.78,2.00,.47,.05,-.05,.02,"9,787"
.VXX221021C22,VXX 100 21 OCT 22 22 CALL,1.17,+.14,+13.59%,549,1.12,1.17,1.30,.83,.50,.13,-.07,.01,"9,762"
.TSLA221118P220,TSLA 100 18 NOV 22 220 PUT,21.07,+2.88,+15.83%,"4,350",20.85,21.05,21.66,17.25,-.49,.01,-.24,.28,"9,762"
.DNA221021P3,DNA 100 21 OCT 22 3 PUT,.20,-.13,-39.39%,122,.15,.25,.30,.16,-.48,.83,-.01,.00,"9,759"
.NEM221118C45,NEM 100 18 NOV 22 45 CALL,1.47,-.13,-8.13%,491,1.46,1.49,1.89,1.40,.35,.05,-.03,.05,"9,741"
.AAL221216P11,AAL 100 16 DEC 22 11 PUT,.85,-.10,-10.53%,25,.88,.91,1.00,.84,-.30,.09,-.01,.02,"9,714"
.NFLX221021C225,NFLX 100 21 OCT 22 225 CALL,11.40,-7.90,-40.93%,515,11.35,11.55,19.25,11.30,.44,.01,-.81,.14,"9,679"
.SNAP221021P10.5,SNAP 100 21 OCT 22 10.5 PUT,1.18,+.14,+13.46%,"1,165",1.11,1.13,1.32,1.00,-.48,.16,-.05,.01,"9,653"
.BABA221021P75,BABA 100 21 OCT 22 75 PUT,3.00,+1.38,+85.19%,"2,625",2.95,3.10,3.64,2.30,-.45,.05,-.17,.05,"9,632"
.GILD221021P65,GILD 100 21 OCT 22 65 PUT,1.20,-.25,-17.24%,188,.88,.95,1.40,.81,-.40,.13,-.06,.04,"9,625"
.SNAP221014C10.5,SNAP 100 (Weeklys) 14 OCT 22 10.5 CALL,.28,-.06,-17.65%,"3,123",.27,.29,.44,.14,.43,.43,-.07,.00,"9,621"
.BBIG221216C1.5,BBIG 100 16 DEC 22 1.5 CALL,.15,+.01,+7.14%,228,.12,.15,.15,.12,.40,.57,.00,.00,"9,600"
.TSLA221118C235,TSLA 100 18 NOV 22 235 CALL,11.65,-3.00,-20.48%,541,11.65,11.85,15.45,11.10,.39,.01,-.25,.27,"9,587"
.ATUS221216C6,ATUS 100 16 DEC 22 6 CALL,.60,-.07,-10.45%,"1,034",.50,.65,.65,.58,.45,.19,-.01,.01,"9,554"
.LAD221118C220,LAD 100 18 NOV 22 220 CALL,8.80,0,0.00%,<empty>,9.60,11.20,0,0,.44,.01,-.19,.27,"9,551"
.MSFT221216P220,MSFT 100 16 DEC 22 220 PUT,11.90,+1.54,+14.86%,354,11.70,12.10,12.50,10.40,-.40,.01,-.11,.37,"9,486"
.SNAP221021C12,SNAP 100 21 OCT 22 12 CALL,.43,-.02,-4.44%,468,.43,.45,.52,.31,.31,.14,-.05,.01,"9,482"
.SOFI221216C6,SOFI 100 16 DEC 22 6 CALL,.37,+.01,+2.78%,461,.37,.39,.42,.30,.37,.21,-.01,.01,"9,468"
.SLB221118C45,SLB 100 18 NOV 22 45 CALL,1.56,-.23,-12.85%,293,1.55,1.61,1.78,1.32,.36,.05,-.04,.05,"9,447"
.LVS221118C38,LVS 100 18 NOV 22 38 CALL,2.45,-1.10,-30.99%,96,2.27,2.33,2.82,2.10,.46,.05,-.04,.05,"9,404"
.TWTR221014C50,TWTR 100 (Weeklys) 14 OCT 22 50 CALL,.60,-.45,-42.86%,"5,228",.56,.57,1.02,.55,.50,.27,-.12,.02,"9,391"
.AES221118C26,AES 100 18 NOV 22 26 CALL,.75,-.18,-19.35%,2,.70,.80,.80,.75,.37,.12,-.02,.03,"9,390"
.CLF221021P15,CLF 100 21 OCT 22 15 PUT,.55,+.10,+22.22%,937,.53,.55,.62,.42,-.40,.22,-.04,.01,"9,349"
.AMC221216P7,AMC 100 16 DEC 22 7 PUT,2.09,+.15,+7.73%,54,2.06,2.09,2.12,2.05,-.45,.10,-.01,.01,"9,347"
.F221118C12,F 100 18 NOV 22 12 CALL,.65,+.11,+20.37%,"4,658",.63,.65,.77,.50,.45,.19,-.01,.01,"9,331"
.UBER221216P22.5,UBER 100 16 DEC 22 22.5 PUT,1.92,+.75,+64.10%,"1,563",1.91,1.96,2.59,1.54,-.32,.05,-.02,.04,"9,305"
.ZIM221216P20.5,ZIM 100 16 DEC 22 20.5 PUT,2.80,+.10,+3.70%,29,2.70,3.00,3.20,2.75,-.35,.04,-.04,.03,"9,172"
.RIVN221216C40,RIVN 100 16 DEC 22 40 CALL,1.89,+.19,+11.18%,"5,204",1.94,2.01,2.30,1.57,.33,.03,-.03,.05,"9,139"
.SLB221216C45,SLB 100 16 DEC 22 45 CALL,2.28,-.25,-9.88%,211,2.26,2.43,2.55,2.07,.41,.04,-.03,.07,"9,132"
.APA221021C42.5,APA 100 21 OCT 22 42.5 CALL,1.26,-.01,-0.79%,304,1.01,1.07,1.32,.97,.36,.08,-.09,.02,"9,126"
.CANO221021P8,CANO 100 21 OCT 22 8 PUT,.50,0,0.00%,"3,768",.50,.55,.60,.40,-.34,.18,-.04,.01,"9,112"
.BABA221216P75,BABA 100 16 DEC 22 75 PUT,7.39,+1.59,+27.41%,173,7.30,7.45,7.75,6.45,-.43,.02,-.06,.13,"9,107"
.BYND221118P15,BYND 100 18 NOV 22 15 PUT,3.00,-.10,-3.23%,134,2.95,3.10,3.27,2.83,-.46,.06,-.03,.02,"9,106"
.AUY221118C5,AUY 100 18 NOV 22 5 CALL,.30,+.04,+15.38%,94,.30,.33,.33,.30,.45,.37,-.01,.01,"9,072"
.AMD221014C60,AMD 100 (Weeklys) 14 OCT 22 60 CALL,.82,-.16,-16.33%,"38,882",.80,.82,1.26,.51,.32,.09,-.27,.02,"9,061"
.LVS221021C37,LVS 100 21 OCT 22 37 CALL,1.36,-1.99,-59.40%,872,1.32,1.38,2.36,1.18,.47,.10,-.08,.02,"9,055"
.DVN221021C70,DVN 100 21 OCT 22 70 CALL,2.06,-1.14,-35.63%,"1,042",2.07,2.13,3.05,1.96,.43,.06,-.14,.04,"9,042"
.CAT221118P170,CAT 100 18 NOV 22 170 PUT,6.19,-.05,-0.80%,"2,009",6.10,6.30,6.83,5.14,-.33,.01,-.13,.21,"9,029"
.NVDA221118C130,NVDA 100 18 NOV 22 130 CALL,4.75,-.29,-5.75%,"1,012",4.70,4.80,5.50,3.98,.33,.02,-.12,.14,"9,021"
.MRVL221216C45,MRVL 100 16 DEC 22 45 CALL,2.08,-.55,-20.91%,112,2.06,2.11,2.36,1.90,.34,.03,-.03,.06,"9,010"
.SOFI221216P5,SOFI 100 16 DEC 22 5 PUT,.73,0,0.00%,134,.73,.74,.79,.67,-.42,.21,-.01,.01,"9,001"
.BAC221216C32,BAC 100 16 DEC 22 32 CALL,1.12,-.40,-26.32%,"1,451",1.10,1.14,1.36,1.08,.36,.08,-.01,.05,"8,966"
.PYPL221021P80,PYPL 100 21 OCT 22 80 PUT,2.09,+.39,+22.94%,"2,927",2.09,2.15,3.54,1.61,-.34,.04,-.17,.05,"8,953"
.BLUE221021C7.5,BLUE 100 21 OCT 22 7.5 CALL,.35,0,0.00%,468,.30,.40,.50,.22,.39,.26,-.03,.00,"8,906"
.BP221118C32,BP 100 18 NOV 22 32 CALL,.74,-.27,-26.73%,24,.69,.73,.87,.71,.31,.09,-.02,.03,"8,903"
.MO221216C45,MO 100 16 DEC 22 45 CALL,2.02,+.47,+30.32%,402,1.92,2.08,2.40,1.78,.46,.06,-.02,.07,"8,895"
.AMD221021P55,AMD 100 21 OCT 22 55 PUT,1.56,+.06,+4.00%,"7,413",1.54,1.57,2.18,1.15,-.31,.05,-.13,.03,"8,881"
.BAC221118P29,BAC 100 18 NOV 22 29 PUT,1.36,+.34,+33.33%,"1,271",1.35,1.38,1.41,1.15,-.40,.09,-.02,.04,"8,859"
.GOOGL221216C105,GOOGL 100 16 DEC 22 105 CALL,3.65,-.30,-7.59%,332,3.65,3.75,4.28,3.50,.36,.02,-.05,.16,"8,856"
.JPM221021P100,JPM 100 21 OCT 22 100 PUT,2.62,+1.02,+63.75%,"2,050",2.55,2.69,2.62,1.77,-.39,.04,-.18,.06,"8,842"
.PINS221021P22.5,PINS 100 21 OCT 22 22.5 PUT,1.05,+.50,+90.91%,"1,472",1.00,1.05,1.08,.67,-.41,.12,-.06,.01,"8,842"
.NVDA221216P120,NVDA 100 16 DEC 22 120 PUT,14.70,+.70,+5.00%,610,14.35,14.50,15.95,13.17,-.49,.01,-.09,.20,"8,837"
.CNQ221216C55,CNQ 100 16 DEC 22 55 CALL,3.33,-.32,-8.77%,12,3.20,3.40,3.80,3.33,.45,.04,-.03,.09,"8,817"
.PBR221118P14,PBR 100 18 NOV 22 14 PUT,1.74,+.22,+14.47%,55,1.22,3.70,1.75,1.52,-.41,.06,-.03,.02,"8,768"
.SYF221118P29,SYF 100 18 NOV 22 29 PUT,1.39,-.06,-4.14%,185,1.30,1.55,1.51,1.20,-.33,.06,-.03,.04,"8,756"
.BAC221118C32,BAC 100 18 NOV 22 32 CALL,.80,-.33,-29.20%,500,.78,.81,1.01,.75,.32,.09,-.02,.03,"8,733"
.GME221118P23.75,GME 100 18 NOV 22 23.75 PUT,2.83,-.16,-5.35%,156,2.80,2.96,3.35,2.53,-.36,.04,-.05,.03,"8,705"
.AMZN221216C125,AMZN 100 16 DEC 22 125 CALL,4.30,-.60,-12.24%,"1,029",4.30,4.45,5.55,3.90,.33,.02,-.06,.17,"8,687"
.COIN221118P75,COIN 100 18 NOV 22 75 PUT,13.45,-1.25,-8.50%,160,13.30,13.50,15.90,12.20,-.49,.01,-.14,.09,"8,656"
.AMC1221216P8,AMC 100 (APE 100:5.0) 16 DEC 22 8 PUT,1.80,+.03,+1.69%,"8,509",1.79,2.00,1.93,1.77,-.35,.07,-.01,.01,"8,589"
.GOLD221216C16,GOLD 100 16 DEC 22 16 CALL,.76,-.11,-12.64%,502,.75,.76,.94,.76,.40,.13,-.01,.02,"8,539"
.DIS221118C100,DIS 100 18 NOV 22 100 CALL,2.88,-.82,-22.16%,"1,558",2.78,2.87,3.55,2.70,.34,.03,-.07,.11,"8,524"
.SHOP221118P25,SHOP 100 18 NOV 22 25 PUT,2.70,+.33,+13.92%,231,2.63,2.70,2.96,2.38,-.40,.05,-.04,.03,"8,501"
.TSLA221216P220,TSLA 100 16 DEC 22 220 PUT,25.60,+2.85,+12.53%,705,25.35,25.55,26.15,21.90,-.47,.01,-.17,.36,"8,500"
.SNAP221118C11,SNAP 100 18 NOV 22 11 CALL,1.05,-.08,-7.08%,357,1.08,1.09,1.20,.85,.49,.12,-.02,.01,"8,490"
.GOLD221216P15,GOLD 100 16 DEC 22 15 PUT,1.19,+.12,+11.21%,221,1.19,1.21,1.19,1.02,-.46,.13,-.01,.03,"8,448"
.AAPL221014C140,AAPL 100 (Weeklys) 14 OCT 22 140 CALL,1.96,-.96,-32.88%,"39,755",1.95,1.97,3.25,1.75,.46,.07,-.45,.05,"8,442"
.GOGL221216P7.5,GOGL 100 16 DEC 22 7.5 PUT,.65,+.05,+8.33%,"7,526",.65,.75,.75,.65,-.36,.15,-.01,.01,"8,396"
.AGEN221118C3,AGEN 100 18 NOV 22 3 CALL,.15,-.10,-40.00%,472,.15,.20,.31,.15,.39,.52,.00,.00,"8,392"
.ABBV221118P140,ABBV 100 18 NOV 22 140 PUT,5.50,-1.75,-24.14%,77,5.40,5.70,6.45,4.65,-.44,.03,-.08,.18,"8,377"
.AMC221014P6,AMC 100 (Weeklys) 14 OCT 22 6 PUT,.25,+.04,+19.05%,"4,598",.23,.24,.29,.16,-.41,.52,-.06,.00,"8,330"
.PLTR221021C8.5,PLTR 100 21 OCT 22 8.5 CALL,.19,-.01,-5.00%,"6,873",.18,.20,.27,.11,.33,.40,-.02,.00,"8,323"
.LVS221118C40,LVS 100 18 NOV 22 40 CALL,1.54,-1.32,-46.15%,455,1.55,1.62,2.03,1.40,.36,.05,-.04,.04,"8,303"
.GM221216P33,GM 100 16 DEC 22 33 PUT,3.15,-.15,-4.55%,110,3.35,3.45,3.60,3.14,-.50,.05,-.02,.05,"8,276"
.C221118C42.5,C 100 18 NOV 22 42.5 CALL,1.42,-.48,-25.26%,"1,251",1.39,1.44,1.83,1.42,.39,.07,-.03,.05,"8,250"
.AMZN221118P105,AMZN 100 18 NOV 22 105 PUT,4.75,+.45,+10.47%,"1,515",4.65,4.75,5.33,3.87,-.32,.02,-.09,.13,"8,244"
.MARA221021P10,MARA 100 21 OCT 22 10 PUT,.81,+.09,+12.50%,"1,411",.78,.82,1.01,.62,-.38,.15,-.05,.01,"8,242"
